Ссылка,Имя врача,Сумма Стаж,Специальность,Ученая степень,Работает в клиниках,Сумма Отзывов,Сумма Рейтинг
https://prodoctorov.ru/moskva/vrach/1022658-savinova/otzivi/,Савинова Светлана Викторовна,5,Гастроэнтеролог,высшая категория,Медицинский центр «Draenei» (ранее «Ника Клиник»); «Клиника доктора Мясникова» на 4-м Монетчиковском переулке; Клиника «Медси» в Хорошевском проезде; Поликлиника №195 на Крылатских холмах 51,5,0.49
https://prodoctorov.ru/moskva/vrach/1022662-makushina/otzivi/,Макушина Анастасия Алексеевна,6,Гастроэнтеролог,к.м.н.,«GMS Hospital» на Каланчёвской; Клиника «Медси» в Хорошевском проезде,0,0
https://prodoctorov.ru/moskva/vrach/1022670-trush/otzivi/,Труш Елизавета Александровна,6,Гастроэнтеролог,к.м.н.,Клиника «Медси» в Хорошевском проезде; Клиника «Медси»,0,0
https://prodoctorov.ru/moskva/vrach/1022756-nasretdinova/otzivi/,Насретдинова Эльмира Равильевна,17,Гастроэнтеролог,к.м.н.,Клиника «Медси» на Голованова,0,0
https://prodoctorov.ru/moskva/vrach/1023228-ovsyankina/otzivi/,Овсянкина Елена Андреевна,5,Гастроэнтеролог,к.м.н.,Клиника «Медси» на Красной Пресне,5,0.79
https://prodoctorov.ru/moskva/vrach/1023432-tataurova/otzivi/,Татаурова Марина Сергеевна,17,Гастроэнтеролог,первая категория,Клиника «Медси» на Красной Пресне,2,0.54
https://prodoctorov.ru/moskva/vrach/1023772-kosyrev/otzivi/,Косырев Павел Михайлович,5,Гастроэнтеролог,высшая категория; к.м.н.,Клиника «Медси» на Староалексеевской; Клиника «Медси» на Краснобогатырской,60,1
https://prodoctorov.ru/moskva/vrach/1023935-svistunov/otzivi/,Свистунов Сергей Петрович,40,"Терапевт, гастроэнтеролог, кардиолог",профессор,«МедлайН Сервис» на Митинской; «Центр реабилитации опорно-двигательного аппарата»,0,0
https://prodoctorov.ru/moskva/vrach/1024577-semenova/otzivi/,Семенова Наталья Владимировна,5,Гастроэнтеролог,высшая категория; к.м.н.,Клиника «Медси» на Пречистенке,10,0.88
https://prodoctorov.ru/moskva/vrach/1024806-festa/otzivi/,Феста Татьяна Алексеевна,27,"Терапевт, гастроэнтеролог",высшая категория,Медицинский центр «ДеВита»,0,0
https://prodoctorov.ru/moskva/vrach/1025240-golysheva/otzivi/,Голышева Светлана Валерьевна,26,Гастроэнтеролог,высшая категория; к.м.н.,Медицинский центр «Целитель» на Юбилейной; «МедСвисс» на Рублево-Успенском шоссе; Медицинский центр «Целитель» на Водонапорной,1,0.17
https://prodoctorov.ru/moskva/vrach/1025306-belova/otzivi/,Белова Галина Вячеславовна,42,"Эндоскопист, гастроэнтеролог",высшая категория; д.м.н.,Клиника «Добромед» на бульваре Дмитрия Донского; «Центр мозга и нейротехнологий»; Поликлиника Центрального банка РФ,0,0
https://prodoctorov.ru/moskva/vrach/1025358-logutyova/otzivi/,Логутёва Луиза Салиховна,12,Гастроэнтеролог,высшая категория; к.м.н.,«МедСвисс» на Малом Толмачевском переулке; Поликлиника №2 на Матросова,0,0
https://prodoctorov.ru/moskva/vrach/1025488-sitdikova/otzivi/,Ситдикова Гульфира Разитовна,40,Гастроэнтеролог,высшая категория,Клиника «Медси» на Красной Пресне,0,0
https://prodoctorov.ru/moskva/vrach/1025806-aksenova/otzivi/,Аксенова Дарья Сергеевна,8,"Терапевт, врач общей практики (семейный врач), гастроэнтеролог, кардиолог",к.м.н.,Медицинский центр «Мкс-Мед»; Поликлиника №62 на Планетной; Поликлиника №62 на Красноармейской; Поликлиника №210 на Каширском шоссе,4,0.12
https://prodoctorov.ru/moskva/vrach/1025910-ermolaeva/otzivi/,Ермолаева Дина Ивановна,35,Гастроэнтеролог,первая категория,Поликлиника №210 филиал 3 (ранее ГП №213),0,0
https://prodoctorov.ru/moskva/vrach/1028082-kuchieva/otzivi/,Кучиева Камила Артиковна,7,Гастроэнтеролог,вторая категория,Клиника «Будь Здоров» на Тульской,4,0.73
https://prodoctorov.ru/moskva/vrach/1030110-cepeleva/otzivi/,Цепелева Лариса Викторовна,28,"Гастроэнтеролог, гепатолог",вторая категория; к.м.н.,«СМ-Клиника» на Войковской (пр-д Старопетровский),0,0
https://prodoctorov.ru/moskva/vrach/1030310-kuskova/otzivi/,Кускова Екатерина Александровна,10,Гастроэнтеролог,д.м.н.,Поликлиника МСЧ МВД,0,0
https://prodoctorov.ru/moskva/vrach/1030685-ledyankina/otzivi/,Жуковская (Ледянкина) Мария Александровна,4,Гастроэнтеролог,к.м.н.,Больница №83 ФНКЦ ФМБА России; «Медицинский центр в Коломенском» на Высокой,8,0.85
https://prodoctorov.ru/moskva/vrach/1031059-peleneva/otzivi/,Пеленева Екатерина Сергеевна,5,Гастроэнтеролог,высшая категория; к.м.н.,«Поликлиника.ру» на Сухаревской,2,0.04
https://prodoctorov.ru/moskva/vrach/1031110-mamedov/otzivi/,Мамедов Кенан Габилович,8,"Гастроэнтеролог, хирург, эндоскопист",к.м.н.,Медицинский центр «Клиника №1»; «Витбиомед Плюс» в Ясенево; Клиника «Витбиомед Плюс» в Жулебино; Клиника «Витбиомед Плюс» на Рязанском,49,1
https://prodoctorov.ru/moskva/vrach/1033534-kochanova/otzivi/,Кочанова Василиса Евгеньевна,6,Гастроэнтеролог,д.м.н.,Поликлиника №219 на Яна Райниса,0,0
https://prodoctorov.ru/moskva/vrach/1034121-bogomolova/otzivi/,Богомолова Наталья Александровна,21,Гастроэнтеролог,профессор,Клиника «Семейный доктор» на Бауманской,0,0
https://prodoctorov.ru/moskva/vrach/1034467-bayo/otzivi/,Байо Олег Фарабанович,5,Гастроэнтеролог,высшая категория; к.м.н.,Клиника «Нео Вита»; Косметология «Дс космо клиник»; «СМ-Клиника» на Белорусской; Лаборатория «CMD» на Нахимовском,2,0.55
https://prodoctorov.ru/moskva/vrach/1034676-kondrashkova/otzivi/,Кондрашкова Наталья Евгеньевна,22,Гастроэнтеролог,вторая категория,Центр профилактической медицины (ГНИЦ на Китай Городе),0,0
https://prodoctorov.ru/moskva/vrach/1036374-kumukova/otzivi/,Кумукова Зурида Владимировна,22,"Терапевт, врач УЗИ, гастроэнтеролог",к.м.н.,«МедиАнт» в 1 микрорайоне; Лаборатория «Гемотест» в Московском на Саларьевской; Медицинский центр «Диаклиник»,6,0.84
https://prodoctorov.ru/moskva/vrach/1036694-avazbekova/otzivi/,Авазбекова Ёсимин Авазбековна,4,"Терапевт, гастроэнтеролог",к.м.н.,«Латум Клиника» на Коровинском шоссе; Поликлиника №36 на Новомарьинской 2; Поликлиника №185 (ГП №36 филиал 1),4,0.5
https://prodoctorov.ru/moskva/vrach/1037458-biryukova/otzivi/,Бирюкова Светлана Владимировна,28,"Нутрициолог, гастроэнтеролог, гепатолог",к.м.н.,Лаборатория «Гемотест» на Дмитровском шоссе 86к6,34,1
https://prodoctorov.ru/moskva/vrach/1037859-bulanova/otzivi/,Буланова Мария Игоревна,7,"Гастроэнтеролог, терапевт",к.м.н.,Поликлиника №8 на проспекте Вернадского (ранее ГП №118),3,0.36
https://prodoctorov.ru/moskva/vrach/1040397-druzhinina/otzivi/,Дружинина Елизавета Юрьевна,6,Гастроэнтеролог,к.м.н.,Поликлиника №195 филиал 3 (ранее поликлиника №162); Поликлиника №195 на Крылатских холмах 51; Поликлиника №195 на Крылатских холмах 30,1,0.34
https://prodoctorov.ru/moskva/vrach/1040626-sultanova/otzivi/,Султанова Аида Ельхановна,5,"Терапевт, гастроэнтеролог, кардиолог, нефролог, пульмонолог",высшая категория,Клиника «Хеликс» на Полежаевской; Поликлиника №195 филиал 3 (ранее поликлиника №162); Поликлиника №195 на Крылатских холмах 30,0,0
https://prodoctorov.ru/moskva/vrach/1040653-gamidova/otzivi/,Гамидова Нюрьяна Абдурахмановна,28,"Терапевт, гастроэнтеролог",к.м.н.,Поликлиника №166 на Домодедовской; Поликлиника №22 на Вавилова (ранее Поликлиника №11),0,0
https://prodoctorov.ru/moskva/vrach/1040667-chumikova/otzivi/,Чумикова Виктория Валерьевна,26,Гастроэнтеролог,высшая категория; к.м.н.,Поликлиника №166 на Домодедовской,0,0
https://prodoctorov.ru/moskva/vrach/1040954-chaplygina/otzivi/,Чаплыгина Анастасия Александровна,6,Гастроэнтеролог,высшая категория,Клиника «Медси» на Благовещенском переулке; Клиника «Медси» на Ленинградском проспекте; Поликлиника №5 филиал 1 (ранее «Поликлиника №3 филиал 1»),2,0.55
https://prodoctorov.ru/moskva/vrach/1041106-lopatina/otzivi/,Лопатина Ирина Николаевна,47,Гастроэнтеролог,высшая категория; к.м.н.,Медицинский центр «УроМед»,0,0
https://prodoctorov.ru/moskva/vrach/1041237-minasyan/otzivi/,Минасян Айкуш Людвиговна,9,Гастроэнтеролог,д.м.н.,Областная больница №1 (ОКБ 1); Поликлиника №36 на Новомарьинской 2; Поликлиника №9 на Перервинском бульваре,4,0.06
https://prodoctorov.ru/moskva/vrach/1042292-bakulin/otzivi/,Бакулин Игорь Геннадьевич,35,"Гепатолог, гастроэнтеролог",д.м.н.,«Институт Гастроэнтерологии» СЗГМУ им. И.И. Мечникова; «Научно-Практический Медицинский Центр»; Медицинский центр «Доктор эксперт»,8,0.53
https://prodoctorov.ru/moskva/vrach/1042437-dmitrieva/otzivi/,Дмитриева Екатерина Дмитриевна,12,Гастроэнтеролог,высшая категория; к.м.н.,«Клиника Новых Технологий Медицины» на Угрешской; Поликлиника №69 Перово на Плющева (ранее ГП №73); Клиника «Хеликс» на Святоозерской,0,0
https://prodoctorov.ru/moskva/vrach/1044870-antyufeeva/otzivi/,Антюфеева Валерия Алексеевна,5,Гастроэнтеролог,высшая категория; к.м.н.,Клиника «Биорайз» на Ленинградском проспекте; «СМ-Клиника» на Декабристов,5,0.82
https://prodoctorov.ru/moskva/vrach/1045509-semenkova/otzivi/,Семенкова Тамара Валерьевна,17,Гастроэнтеролог,высшая категория,72 поликлиника МЧС,0,0
https://prodoctorov.ru/moskva/vrach/1045607-kurzhos/otzivi/,Куржос Мария Николаевна,5,Гастроэнтеролог,д.м.н.,Госпиталь ветеранов войн №3,0,0
https://prodoctorov.ru/moskva/vrach/1046765-morozova/otzivi/,Морозова Дарья Юрьевна,5,Гастроэнтеролог,вторая категория,Клиника «Медси» на Дубравной,4,0.75
https://prodoctorov.ru/moskva/vrach/104856-timoshenko/otzivi/,Тимошенко Юлия Витальевна,17,Гастроэнтеролог,к.м.н.,Московский клинический научный центр (МКНЦ) на Новогиреевской,5,0.76
https://prodoctorov.ru/moskva/vrach/1048799-umyarova/otzivi/,Брехунец (Умярова) Рената Маратовна,6,"Терапевт, врач УЗИ, гастроэнтеролог",к.м.н.,Медицинский центр «Инвитро» на Малой Филевской; Госпиталь МВД на Народного ополчения,2,0.54
https://prodoctorov.ru/moskva/vrach/1049265-bayramukova/otzivi/,Байрамукова Элен Халитовна,7,Гастроэнтеролог,высшая категория,«СМ-Клиника» на Севастопольской; Лаборатория «CMD» на бульваре Зелёные Аллеи,3,0.28
https://prodoctorov.ru/moskva/vrach/1049339-krivoshapova/otzivi/,Кривощапова Ольга Игоревна,7,"Терапевт, гастроэнтеролог",высшая категория,Клиника «Семейная»; Поликлиника №214 на Елецкой; Рязановская поликлиника в поселке Знамя Октября,3,0.57
https://prodoctorov.ru/moskva/vrach/1049482-evlasheva/otzivi/,Евлашева Ольга Олеговна,12,Гастроэнтеролог,к.м.н.,Клиника «ДокДети» («ДокМед») на Дербеневской; Клиника «ДокДети» («ДокМед») на Цветном,0,0
https://prodoctorov.ru/moskva/vrach/1049674-mirzazyanova/otzivi/,Мирзазянова Алина Фархадовна,21,Гастроэнтеролог,высшая категория; к.м.н.,Поликлиника 52 КДЦ на Скаковой (ранее Поликлиника филиала №6 госпиталя Вишневского),0,0
https://prodoctorov.ru/moskva/vrach/1050358-ivlev/otzivi/,Ивлев Илья Сергеевич,5,Гастроэнтеролог,к.м.н.,«Семейный доктор» №14 на Братиславской,1,0.36
https://prodoctorov.ru/moskva/vrach/1050498-halilova/otzivi/,Халилова Офелия Рауфовна,5,Гастроэнтеролог,к.м.н.,Поликлиника №121 на Южнобутовской,2,0
https://prodoctorov.ru/moskva/vrach/1050726-lezhepekova/otzivi/,Лежепекова Евгения Геннадьевна,20,Гастроэнтеролог,первая категория,Медицинский центр «Точка опоры»; Клиника «Алодерм»; Центр МРТ «МедиСкан»,28,0.99
https://prodoctorov.ru/moskva/vrach/1050794-bestaeva/otzivi/,Бестаева Нина Давидовна,4,Гастроэнтеролог,профессор,Больница имени Буянова (ранее Больница №12),0,0
https://prodoctorov.ru/moskva/vrach/1051649-bernaz/otzivi/,Берназ Мария Валентиновна,6,Гастроэнтеролог,профессор,Московский клинический научный центр (МКНЦ) на Новогиреевской,0,0
https://prodoctorov.ru/moskva/vrach/1051886-dorofeev/otzivi/,Дорофеев Алексей Сергеевич,17,Гастроэнтеролог,высшая категория; к.м.н.,Московский клинический научный центр (МКНЦ) на Новогиреевской,0,0
https://prodoctorov.ru/moskva/vrach/1051921-zayceva/otzivi/,Зайцева Светлана Владимировна,8,Гастроэнтеролог,высшая категория,Московский клинический научный центр (МКНЦ) на Новогиреевской,4,0.51
https://prodoctorov.ru/moskva/vrach/1051991-kamzarakova/otzivi/,Камзаракова Наталья Викторовна,7,Гастроэнтеролог,профессор,Московский клинический научный центр (МКНЦ) на Новогиреевской,0,0
https://prodoctorov.ru/moskva/vrach/1052022-guseva/otzivi/,Гусева Анна Константиновна,6,Гастроэнтеролог,к.м.н.,Клиника «К+31» на Лобачевского,0,0
https://prodoctorov.ru/moskva/vrach/1052097-krivulya/otzivi/,Кривуля Валерия Алексеевна,6,Гастроэнтеролог,высшая категория,Московский клинический научный центр (МКНЦ) на Новогиреевской,1,0.34
https://prodoctorov.ru/moskva/vrach/1052181-mishaeva/otzivi/,Мишаева Раиса Джамалудиновна,8,Гастроэнтеролог,высшая категория; к.м.н.,Московский клинический научный центр (МКНЦ) на Новогиреевской,0,0
https://prodoctorov.ru/moskva/vrach/1052211-osipenko/otzivi/,Осипенко Юлия Владимировна,20,Гастроэнтеролог,первая категория,Московский клинический научный центр (МКНЦ) на Новогиреевской,0,0
https://prodoctorov.ru/moskva/vrach/1052321-sbikina/otzivi/,Сбикина Евгения Сергеевна,11,Гастроэнтеролог,вторая категория,Московский клинический научный центр (МКНЦ) на Новогиреевской,1,0.36
https://prodoctorov.ru/moskva/vrach/1052549-chebotareva/otzivi/,Чеботарева Маргарита Викторовна,9,Гастроэнтеролог,высшая категория,Московский клинический научный центр (МКНЦ) на Новогиреевской,0,0
https://prodoctorov.ru/moskva/vrach/1052865-izotova/otzivi/,Изотова Наталья Александровна,7,"Педиатр, гастроэнтеролог, детский гастроэнтеролог",к.м.н.,Клиника «Кругосветка»; Филатовская детская больница,0,0
https://prodoctorov.ru/moskva/vrach/1053842-muhutdinova/otzivi/,Мухутдинова Амина Фахрулловна,46,"Гастроэнтеролог, детский гастроэнтеролог, терапевт",первая категория,Медицинский центр «Сходня»; «Медквадрат» в Куркино,6,0.87
https://prodoctorov.ru/moskva/vrach/1056763-gubanova/otzivi/,Губанова Татьяна Владиславовна,19,Гастроэнтеролог,высшая категория,Поликлиника №195 на Крылатских холмах 51; Медицинский центр «Алексмед»,1,0
https://prodoctorov.ru/moskva/vrach/1058060-glebova/otzivi/,Глебова Нина Алексеевна,34,"Терапевт, гастроэнтеролог, кардиолог",к.м.н.,Центр молекулярной диагностики «CMD» на Ситникова; «Медицинская клиника CMD»; «МедлайН Сервис» на Молодежной,50,1
https://prodoctorov.ru/moskva/vrach/1058227-fedotkina/otzivi/,Федоткина Юлия Викторовна,30,Гастроэнтеролог,высшая категория; д.м.н.,«СМ-Клиника» на Курской (2-ом Сыромятническом пер.); «СМ-Клиника» на ВДНХ,1,0.32
https://prodoctorov.ru/moskva/vrach/1058454-chetverikova/otzivi/,Четверикова Наталья Юрьевна,33,"Гастроэнтеролог, диетолог",к.м.н.,«Центральная поликлиника на Ленинградке» (ранее «Центральная поликлиника Литфонда»); Поликлиника № 1 Минобрнауки на Сретенском бульваре,3,0.66
https://prodoctorov.ru/moskva/vrach/1058733-kodzoeva/otzivi/,Кодзоева Хава Багаудиновна,7,"Гастроэнтеролог, терапевт",к.м.н.,«КДЦ 24»,1,0.39
https://prodoctorov.ru/moskva/vrach/1059662-kovtun/otzivi/,Ковтун Светлана Валерьевна,53,Гастроэнтеролог,высшая категория,Поликлиника №2 МВД,1,0.39
https://prodoctorov.ru/moskva/vrach/1060856-egoyan/otzivi/,Бликян (Егоян) Кристине Эдуардовна,4,Гастроэнтеролог,высшая категория; к.м.н.,Клиника «Институт пластической хирургии и косметологии»; «Гастро Клиник»,2,0.58
https://prodoctorov.ru/moskva/vrach/1061252-shustova/otzivi/,Шустова Наталья Юрьевна,19,Гастроэнтеролог,высшая категория,Поликлиника №2 Минэкономразвития,0,0
https://prodoctorov.ru/moskva/vrach/1061311-sadretdinova/otzivi/,Садретдинова Эльзия Шамильевна,4,Гастроэнтеролог,высшая категория; профессор,Московский клинический научный центр (МКНЦ) на Павлова,4,0.39
https://prodoctorov.ru/moskva/vrach/1062532-novikova/otzivi/,Новикова Юлия Александровна,27,Гастроэнтеролог,высшая категория,«СМ-Клиника» на Новочеремушкинской,2,0.53
https://prodoctorov.ru/moskva/vrach/1062735-shelemeh/otzivi/,Шелемех Галина Ивановна,28,Гастроэнтеролог,высшая категория,Поликлиника Минэкономразвития России,0,0
https://prodoctorov.ru/moskva/vrach/1062968-gryzina/otzivi/,Грызина Татьяна Николаевна,5,Гастроэнтеролог,высшая категория; к.м.н.,КДЦ №2 на Игральной,1,0.37
https://prodoctorov.ru/moskva/vrach/1063417-bedoeva/otzivi/,Бедоева Мадина Эльбрусовна,4,"Гастроэнтеролог, педиатр",к.м.н.,Клиника «Будь Здоров» на Фрунзенской; Детская поликлиника №28 на бульваре Маршала Рокоссовского (ранее ДП №65),0,0
https://prodoctorov.ru/moskva/vrach/1063629-sibirkina/otzivi/,Сибиркина Елена Андреевна,19,Гастроэнтеролог,высшая категория; к.м.н.,Клиника «Медси» на Ильинском; Клиника «Медси» на Кулакова; Клиника «Медси» на Дубравной,2,0.26
https://prodoctorov.ru/moskva/vrach/1064723-strokova/otzivi/,Строкова Татьяна Викторовна,31,"Детский гастроэнтеролог, гастроэнтеролог",д.м.н.,«Семейный доктор» №15 на Бакунинской; Клиника «ФИЦ питания и биотехнологии»,0,0
https://prodoctorov.ru/moskva/vrach/1068503-podlesskih/otzivi/,Подлесских Марина Николаевна,21,Гастроэнтеролог,высшая категория,«Клиники Лядова»; ЦМСЧ №119 ФМБА,3,0.67
https://prodoctorov.ru/moskva/vrach/1069751-shorina/otzivi/,Шорина Дария Андреевна,11,Гастроэнтеролог,к.м.н.,Консультативно-диагностический центр НКЦ №2  (ранее поликлиника РАН),0,0
https://prodoctorov.ru/moskva/vrach/1071078-soshneva/otzivi/,Сошнева Наталья Сергеевна,4,Гастроэнтеролог,высшая категория,«Семейный доктор» №2 на бульваре Генерала Карбышева,0,0
https://prodoctorov.ru/moskva/vrach/1071434-kryzhanovskaya/otzivi/,Крыжановская Ольга Александровна,8,Гастроэнтеролог,высшая категория; д.м.н.,Поликлиника №2 Управления делами Президента РФ,0,0
https://prodoctorov.ru/moskva/vrach/1072468-semenova/otzivi/,Семенова Александра Валерьевна,15,Гастроэнтеролог,к.м.н.,Медицинский центр МГМСУ им. Евдокимова; Поликлиника №84 ФМБА на Абельмановской,0,0
https://prodoctorov.ru/moskva/vrach/1072763-egorova/otzivi/,Егорова Наталья Владимировна,23,Гастроэнтеролог,первая категория,Поликлиника №3 Управления делами Президента РФ,0,0
https://prodoctorov.ru/moskva/vrach/1074034-kostyukevich/otzivi/,Костюкевич Ольга Игоревна,24,Гастроэнтеролог,к.м.н.,Больница Святителя Алексия; Медицинский центр «Дарьял»; Поликлиника больницы №1,0,0
https://prodoctorov.ru/moskva/vrach/1075014-yarosh/otzivi/,Ярош Виктория Юрьевна,4,Гастроэнтеролог,к.м.н.,Клиника «Медси» на Красной Пресне; Московский клинический научный центр (МКНЦ) на Новогиреевской,2,0.55
https://prodoctorov.ru/moskva/vrach/1076716-mesheryakova/otzivi/,Мещерякова Виктория Юрьевна,4,Гастроэнтеролог,высшая категория; к.м.н.,Клиника «Медси» на Мичуринском проспекте,69,1
https://prodoctorov.ru/moskva/vrach/1077279-ovchinnikova/otzivi/,Овчинникова Елена Владимировна,17,Гастроэнтеролог,высшая категория; д.м.н.,Клиническая больница №1 (Волынская),1,0.38
